REBEL MOTHER: MY CHILDHOOD CHASING THE REVOLUTION,PETER ANDREAS,,MEMOIR/BIOGRAPHY,10/14/17,12/8/18,,THE MAN WHO INVENTED FLORIDA,,,
REBEL MOTHER: MY CHILDHOOD CHASING THE REVOLUTION,PETER ANDREAS,,MEMOIR/BIOGRAPHY,2/23/19,8/24/19,,THE SANCTUARY,,,
"EVERYTHING'S TRASH, BUT IT'S OKAY",PHOEBE ROBINSON,,MEMOIR/BIOGRAPHY,2/23/19,,,GHOSTWALK,,,
ORANGE IS THE NEW BLACK,PIPER KERMAN,,MEMOIR/BIOGRAPHY,2/10/18,10/13/18,,THE TRAVELERS,,,
GREEN ZONE,RAJIV CHANDRASEKARAN,,MEMOIR/BIOGRAPHY,12/7/19,,,THE GIRL IN THE WINDOW,,,
AT THE BALTHAZAR,REGGIE NADELSON,,MEMOIR/BIOGRAPHY,10/14/17,,,KILLING COUSINS,,,
GENERAL GEORGE S. PATTON JR.: WAR AS I KNEW IT,RICK ATKINSON,,MEMOIR/BIOGRAPHY,11/9/19,,,ENDLESS NIGHT,,,
BORN TO COACH: A SEASON WITH THE NEW YORK KNICKS,RICK PITINO AND BILL REYNOLDS,,MEMOIR/BIOGRAPHY,10/31/15,11/1/16,,DARK LADY,,,
A LIFE OF ULYSSES S. GRANT,RONALD C. WHITE,,MEMOIR/BIOGRAPHY,11/9/19,12/7/19,,EYES OF THE CHILD,,,
PAPAGO WOMAN,RUTH UNDERHILL,,MEMOIR/BIOGRAPHY,12/2/17,12/2/17,,PROTECT AND DEFEND,,,
MY PLACE,SALLY MORGAN,,MEMOIR/BIOGRAPHY,4/3/16,12/2/17,,THE LASKO TANGENT,,,
STANDING TALL: THE KEVIN EVERETT STORY,SAM CARCHIDI,,MEMOIR/BIOGRAPHY,12/7/19,1/25/20,,THE SPIRE,,,
THE CAPTAIN CLASS: THE DRIVING FORCE BEHIND THE WORLD'S GREATEST TEAMS,SAM WALKER,,MEMOIR/BIOGRAPHY,10/14/17,3/30/19,,THE RED ROOM,,,
A SNOWFLAKE IN MY HAND,SAMANTHA MOONEY,,MEMOIR/BIOGRAPHY,2/23/19,,,CITY OF MIRACLES,,,
HOW TO MAKE A FRENCH FAMILY,SAMANTHA VERANT,,MEMOIR/BIOGRAPHY,10/14/17,12/8/18,,LONG LIVE GROVER CLEVELAND,,,
THE VIEW FROM FLYOVER COUNTRY,SARAH KENDZIOR,,MEMOIR/BIOGRAPHY,2/23/19,,,DR. JEKYLL AND MR. HYDE: AND OTHER STORIES OF THE SUPERNATURAL,,,
THE MAGIC OF NATURE: LIVING IN THE HEART AND SOUL OF THE NATURAL WORLD,SEQUOYA,,MEMOIR/BIOGRAPHY,12/2/17,10/13/18,,WORLD ENOUGH AND TIME,,,
STRANGERS ASSUME MY GIRLFRIEND IS MY NURSE,SHANE BURCAW,,MEMOIR/BIOGRAPHY,4/20/19,,,WHAT'S BRED IN THE BONE,,,
ALWAYS ANOTHER COUNTRY,SISONKE MSIMANG,,MEMOIR/BIOGRAPHY,9/14/19,11/9/19,,CELL,,,
12 YEARS A SLAVE,SOLOMON NORTHUP,,MEMOIR/BIOGRAPHY,10/31/15,2/13/16,,ONE FOOT IN EDEN,,,
THE ROAD OF LOST INNOCENCE,SOMALY MAM,,MEMOIR/BIOGRAPHY,10/14/17,,,THE UNDERGROUND MAN,,,
#GIRLBOSS,SOPHIA AMORUSO,,MEMOIR/BIOGRAPHY,2/10/18,4/21/18,,SILENT THUNDER,,,
#GIRLBOSS,SOPHIA AMORUSO,,MEMOIR/BIOGRAPHY,9/15/18,2/13/19,,THE THIRD FURY,,,
MOZART,STANLEY SADIE,,MEMOIR/BIOGRAPHY,3/31/17,2/10/18,,THE VEILED ONE,,,
LET THE TRUPETS SOUND: THE LIFE OF MARTIN LUTHER KING JR.,STEPHEN B. OATES,,MEMOIR/BIOGRAPHY,4/3/16,9/17/16,,BE VERY AFRAID,,,
LET THE TRUPETS SOUND: THE LIFE OF MARTIN LUTHER KING JR.,STEPHEN B. OATES,,MEMOIR/BIOGRAPHY,9/19/15,9/19/15,,BEST KEPT SECRETS,,,
MY ADVENTURE WITH GOD,STEPHEN TOBOLOWSKY,,MEMOIR/BIOGRAPHY,10/14/17,4/20/19,,THE CRUSH,,,
FAITHFUL,"STEWART O'NAN, STEPHEN KING",,MEMOIR/BIOGRAPHY,4/3/16,11/1/16,,THE BURDEN OF PROOF,,,
BLACK DAWN BRIGHT DAY,SUN BEAR AND WABUN WIND,,MEMOIR/BIOGRAPHY,4/3/16,4/23/16,,THE ZEBRA NETWORK,,,
BRAIN ON FIRE,SUSANNAH CAHALAN,,MEMOIR/BIOGRAPHY,11/9/16,3/4/17,,BLIND PASS,,,
I'M NOT REALLY A WAITRESS,SUZI WEISS-FISCHMANN,,MEMOIR/BIOGRAPHY,9/14/19,,,MISSING,,,
BROTHERS,"SYLVESTER MONROE, PETER GOLDMAN",,MEMOIR/BIOGRAPHY,10/31/15,2/13/16,,A STRANGER IN THE MIRROR,,,
FROM SCRATCH,TEMBI LOCKE,,MEMOIR/BIOGRAPHY,4/20/19,,,BLOODLINE,,,
A MAN OF OUR TIMES: ST. AUGUSTINE AND HIS HERITAGE,THEODORE TACK,,MEMOIR/BIOGRAPHY,10/14/17,,,MASTER OF THE GAME,,,
A LUCKY CHILD: A MEMOIR OF SURVIVING AUSCHWITZ AS A YOUNG BOY,"THOMAS BUERGENTHAL, ELIE WIESEL",,MEMOIR/BIOGRAPHY,12/7/19,1/25/20,,MISS ZUKAS AND THE LIBRARY MURDERS,,,
A LUCKY CHILD: A MEMOIR OF SURVIVING AUSCHWITZ AS A YOUNG BOY,"THOMAS BUERGENTHAL, ELIE WIESEL",,MEMOIR/BIOGRAPHY,4/3/16,8/24/19,,NOTHING LASTS FOREVER,,,
DRIVING MISS NORMA,"TIM BAUERSCHMIDT, RAMIE LIDDLE",,MEMOIR/BIOGRAPHY,10/14/17,10/13/18,,RAGE OF ANGELS,,,
EVERY MAN A TIGER,TOM CLANCY,,MEMOIR/BIOGRAPHY,12/8/18,12/8/18,,TELL ME YOUR DREAMS,,,
WILL'S RED COAT: THE STORY OF ONE OLD DOG WHO CHOSE TO LIVE AGAIN,TOM RYAN,,MEMOIR/BIOGRAPHY,2/9/19,,,THE BEST LAID PLANS,,,
WILL'S RED COAT: THE STORY OF ONE OLD DOG WHO CHOSE TO LIVE AGAIN,TOM RYAN,,MEMOIR/BIOGRAPHY,9/9/17,10/13/18,,THE DOOMSDAY CONSPIRACY,,,
THE HORNES: AN AMERICAN FAMILY,VARIOUS,,MEMOIR/BIOGRAPHY,10/13/18,,,THE NAKED FACE,,,
MARGARET BOURKE-WHITE: A BIOGRAPHY,VICKI GOLDBERG,,MEMOIR/BIOGRAPHY,11/9/19,,,THE OTHER SIDE OF MIDNIGHT,,,
DEWEY,VICKY MYRON,,MEMOIR/BIOGRAPHY,9/19/15,9/19/15,,THE SANDS OF TIME,,,
THE AWKWARD THOUGHTS OF W. KAMAU BELL,W. KAMAU BELL,,MEMOIR/BIOGRAPHY,10/14/17,2/10/18,,WINDMILLS OF THE GODS,,,
BLOODS: AN ORAL HISTORY OF THE VIETNAM WAR BY BLACK VETERANS,WALLACE TERRY,,MEMOIR/BIOGRAPHY,4/3/16,11/1/16,,ADVENT OF DYING,,,
SON OF OLD MAN HAT,WALTER DYK,,MEMOIR/BIOGRAPHY,11/9/19,1/25/20,,ONE FALSE MOVE,,,
BENJAMIN FRANKLIN: AN AMERICAN LIFE,WALTER ISAACSON,,MEMOIR/BIOGRAPHY,10/14/17,4/21/18,,THE PLAN,,,
BEETHOVEN,WALTER RIEZLER,,MEMOIR/BIOGRAPHY,11/9/16,12/2/17,,CUBA,,,
A TEST OF WILL: ONE MAN'S EXTRAORDINARY STORY OF SURVIVAL,WARREN MACDONALD,,MEMOIR/BIOGRAPHY,10/14/17,10/14/17,,SAUCER,,,
PRIMATES OF PARK AVENUE: A MEMOIR,WEDNESDAY MARTIN,,MEMOIR/BIOGRAPHY,2/10/18,,,COFFEY'S HANDS,,,
KING OF THE CATS: THE LIFE AND TIMES OF ADAM CLAYTONPOWELL JR.,WIL HAYGOOD,,MEMOIR/BIOGRAPHY,12/11/14,11/1/16,,DOLOREZ CLAIBORNE,,,
THE MOST BEAUTIFUL HOUSE IN THE WORLD,WITOLD RYBCYNSKI,,MEMOIR/BIOGRAPHY,4/21/18,,,THE GREEN MILE,,,
CAME TO BELIEVE,ALCOHOLICS ANONYMOUS,,MENTAL WELLNESS/SELF-HELP,11/9/19,,,THE GUNSLINGER: THE DARK TOWER I,,,
THE HEALING CODE,"ALEXANDER LOYD, BEN JOHNSON",,MENTAL WELLNESS/SELF-HELP,8/24/19,8/24/19,,THE WASTE LANDS,,,
OVERCOMING PERFECTIONISM,ANN W. SMITH,,MENTAL WELLNESS/SELF-HELP,1/25/20,1/25/20,,GOLIATH,,,
MIND EASING,BICK WANCK,,MENTAL WELLNESS/SELF-HELP,9/14/19,9/14/19,,HELL'S AQUARIUM,,,
IS IT LOVE OR IS IT ADDICTION,BRENDA SCHAEFFER,,MENTAL WELLNESS/SELF-HELP,12/8/18,12/8/18,,RESURRECTION,,,
ESSENTIALS OF MANAGING STRESS,BRIAN LUKE SEAWARD,,MENTAL WELLNESS/SELF-HELP,9/14/19,9/14/19,,A COLUMBUS AFFAIR,,,
COMING INTO OUR FULLNESS: ON WOMEN TURNING FORTY,CATHLEEN ROUNTREE,,MENTAL WELLNESS/SELF-HELP,2/9/19,2/13/19,,DIRTY POOL,,,
TAKE TIME FOR YOUR LIFE,CHERYL RICHARDSON,,MENTAL WELLNESS/SELF-HELP,10/31/19,,,THE LIST,,,
TALKING TO DEPRESSION,CLAUDIA J. STRAUSS,,MENTAL WELLNESS/SELF-HELP,2/23/19,11/9/19,,THE RULE OF NINE,,,
THE WISDOM OF OLD-TIME TELEVISION: COMMON SENSE AND UNCOMMON GENIUS FROM THE GOLDEN AGE OF TELEVISION,CRISWELL FREEMAN,,MENTAL WELLNESS/SELF-HELP,11/9/16,12/7/19,,THE PAWN,,,
A COMPLETE GUIDE TO MASQUERADING AS A MEMBER OF THE REAL WORLD,DAN ZEVIN,,MENTAL WELLNESS/SELF-HELP,10/14/17,2/13/19,,THE GIRL WHO PLAYED WITH FIRE,,,
MIND BODY MEDICINE,DANIEL GOLEMAN,,MENTAL WELLNESS/SELF-HELP,11/1/16,11/1/16,,THE GIRL WITH THE DRAGON TATTOO,,,
M.S. LIVING SYMPTOM FREE - THE TRUE STORY OF AN MS PATIENT,DARYL H. BRYANT,,MENTAL WELLNESS/SELF-HELP,11/9/16,,,CHEIFS,,,
TURN IT AROUND! THERE'S NO ROOM HERE FOR DRUGS,DAVE WINFIELD,,MENTAL WELLNESS/SELF-HELP,2/9/19,2/13/19,,COLD PARADISE,,,
TURN IT AROUND! THERE'S NO ROOM HERE FOR DRUGS,DAVE WINFIELD,,MENTAL WELLNESS/SELF-HELP,4/20/19,1/25/20,,DEEP LIE,,,
FEELING GOOD: THE NEW MOOD THERAPY,DAVID D. BURNS,,MENTAL WELLNESS/SELF-HELP,10/13/18,2/13/19,,WHITE CARGO,,,
TEN DAYS TO SELF-ESTEEM,DAVID D. BURNS,,MENTAL WELLNESS/SELF-HELP,10/13/18,11/9/19,,DEADBEAT,,,
RANGE,DAVID EPSTEIN,,MENTAL WELLNESS/SELF-HELP,9/14/19,11/9/19,,H IS FOR HOMICIDE,,,
THE HEALTHY MIND HEALTHY BODY HANDBOOK,"DAVID S. SOBEL, ROBERT ORNSTEIN",,MENTAL WELLNESS/SELF-HELP,2/9/19,2/13/19,,THE SATAPUR MOONSTONE,,,
THE GENIUS CHECKLIST,DEAN KEITH SIMONTON,,MENTAL WELLNESS/SELF-HELP,2/13/19,2/13/19,,PRINCESS ELIZABETH'S SPY,,,
THE YAMAS & NIYAMAS,DEBORAH ADELE,,MENTAL WELLNESS/SELF-HELP,10/31/19,12/7/19,,BEHIND THE BADGE,,,
IT'S UP TO YOU: THE PRACTICE OF SELF-REFLECTION,DZIGAR KONGTRUL,,MENTAL WELLNESS/SELF-HELP,12/8/18,12/8/18,,INTO THE STORM,,,
YOU DESERVE THE TRUTH,ERICA WILLIAMS SIMON,,MENTAL WELLNESS/SELF-HELP,4/20/19,4/20/19,,DARK FIELDS,,,
FINDING TRUE HAPPINESS,FULTON SHEEN,,MENTAL WELLNESS/SELF-HELP,2/9/19,2/13/19,,DUST TO DUST,,,
OVERCOMING MULTIPLE SCLEROSIS,GEORGE JELINEK,,MENTAL WELLNESS/SELF-HELP,11/9/19,11/9/19,,GUILTY AS SIN,,,
OVERCOMING MULTIPLE SCLEROSIS,GEORGE JELINEK,,MENTAL WELLNESS/SELF-HELP,12/7/19,1/25/20,,RED DRAGON,,,
EVERYMAN'S GUIDE TO ECOLOGICAL LIVING,"GREG CAILLIET, PAULETTE SETZER, MILTON LOVE",,MENTAL WELLNESS/SELF-HELP,8/24/19,8/24/19,,BREAKING POINT,,,
DON'T LABEL ME: AN UNUSUAL CONVERSATION FOR DIVIDED TIMES,IRSHAD MAJI,,MENTAL WELLNESS/SELF-HELP,3/30/19,8/24/19,,NIGHT MOVES,,,
REINVENTING YOUR LIFE,"JEFFERY E. YOUNG, JANET S. KLOSKO",,MENTAL WELLNESS/SELF-HELP,10/13/18,12/8/18,,SSN,,,
"YOGA, YOUTH, AND REINCARNATION",JESS STEARN,,MENTAL WELLNESS/SELF-HELP,4/20/19,4/20/19,,THE HUNT FOR RED OCTOBER,,,
"MINDING THE BODY, MENDING THE MIND",JOAN BORYSENKO,,MENTAL WELLNESS/SELF-HELP,10/31/19,12/7/19,,THE INHERITANCE,,,
SEVEN WEEKS TO SOBRIETY,JOAN MATTHEWS LARSON,,MENTAL WELLNESS/SELF-HELP,11/9/19,11/9/19,,DANCE HALL OF THE DEAD,,,
"EARTH BLESSINGS: PRAYERS, POEMS AND MEDITATIONS",JUNE COTNER,,MENTAL WELLNESS/SELF-HELP,2/9/19,8/24/19,,THE WAILING WIND,,,
"EARTH BLESSINGS: PRAYERS, POEMS AND MEDITATIONS",JUNE COTNER,,MENTAL WELLNESS/SELF-HELP,9/15/18,9/15/18,,FOUCAULT PENDULUM,,,
HANDBOOK TO HIGHER CONSCIOUSNESS,KEN KEYES,,MENTAL WELLNESS/SELF-HELP,8/24/19,8/24/19,,EYE OF THE STORM,,,
FORGIVE AND FORGET,LEWIS B. SMEDES,,MENTAL WELLNESS/SELF-HELP,10/13/18,12/8/18,,FLOWERS IN THE ATTIC,,,
OUTLIERS: THE STORY OF SUCCESS,MALCOLM GLADWELL,,MENTAL WELLNESS/SELF-HELP,12/2/17,,,THE THOUSAND DOLLAR TAN LINE,,,
EMOTIONAL EXCELLENCE,MAYA PHILLIPS,,MENTAL WELLNESS/SELF-HELP,10/31/19,,,MEMORIAL DAY,,,
THE FOLK REMEDY ENCYCLOPEDIA,N/A,,MENTAL WELLNESS/SELF-HELP,12/7/19,12/7/19,,ORDER TO KILL,,,
DAS ENERGI,PAUL WILLIAMS,,MENTAL WELLNESS/SELF-HELP,11/9/16,2/13/19,,THE THIRD OPTION,,,
THE URBAN MONK,PEDRAM SHOJAI,,MENTAL WELLNESS/SELF-HELP,10/31/19,11/9/19,,SUSPENDED ANIMATION,,,
MAKING SENSE OF SUFFERING,PETER KREEFT,,MENTAL WELLNESS/SELF-HELP,10/13/18,10/13/18,,THE SHACK,,,
CARING RELATIONSHIPS: THE DYING AND THE BEREAVED,RICHARD A. KALISH,,MENTAL WELLNESS/SELF-HELP,4/3/16,1/25/20,,MONSTER,,,
"DEATH, DYING, TRANSCENDING",RICHARD A. KALISH,,MENTAL WELLNESS/SELF-HELP,4/3/16,1/25/20,,BLACK BETTY,,,
PERSONAL STRATEGIES FOR LIVING WITH LESS STRESS,RICHARD A. STEIN,,MENTAL WELLNESS/SELF-HELP,2/9/19,3/30/19,,PLAYING FOR THRILLS,,,
CARING RELATIONSHIPS: THE DYING AND THE BEREAVED,RICKARD A. KALISH,,MENTAL WELLNESS/SELF-HELP,4/20/19,,,REVOLUTION SUNDAY,,,
YOUR PERFECT RIGHT,"ROBERT E. ALBERTI, MICHAEL L. EMMONS",,MENTAL WELLNESS/SELF-HELP,2/9/19,2/13/19,,IMPROBABLE,,,
HEAL THY SELF,SAKI SANTORELLI,,MENTAL WELLNESS/SELF-HELP,10/31/19,,,ENDGAME,,,
THE SEVEN HIGHLY EFFECTIVE PEOPLE,STEPHEN R. COVEY,,MENTAL WELLNESS/SELF-HELP,10/22/16,10/22/16,,BEHIND CLOSED DOORS,,,
THE HAVING: THE SECRET ART OF FEELING AND GROWING RICH,"SUH YOON LEE, JOOYUN HONG",,MENTAL WELLNESS/SELF-HELP,3/30/19,4/20/19,,SECRET PASSION,,,
STAYING SOBER,"TERENCE T. GORSKI, MERLENE MILLER",,MENTAL WELLNESS/SELF-HELP,11/9/19,11/9/19,,SPLIT SECOND,,,
LIFE MAGAZINE,VARIOUS,,MENTAL WELLNESS/SELF-HELP,11/9/16,,,SNOW FALLING OF CEDARS,,,
MANAGING TRANSITIONS: MAKING THE MOST OF CHANGE,WILLIAM BRIDGES,,MENTAL WELLNESS/SELF-HELP,11/9/19,12/7/19,,AMERICAN BY DAY,,,
HOW TO LIVE WITH A NEUROTIC,ALBERT ELLIS,,MENTAL WELLNESS/SELF-HELP,10/31/15,12/2/17,,FOXLOWE,,,
CAME TO BELIEVE,ALCOHOLICS ANONYMOUS,,MENTAL WELLNESS/SELF-HELP,1/25/20,1/25/20,,STARFISH THE ARBITRARY OCEAN,,,
ON EDGE: A JOURNEY THROUGH ANXIETY,ANDREA PETERSON,,MENTAL WELLNESS/SELF-HELP,10/14/17,10/14/17,,PAYMENT IN BLOOD,,,
THE AMATEUR: THE PLEASURE OF DOING WHAT YOU LOVE,ANDY MERRIFIELD,,MENTAL WELLNESS/SELF-HELP,10/14/17,10/14/17,,THE WESTING GAME,,,
GIFT FROM THE GARDEN,BERNIE DUBOIS,,MENTAL WELLNESS/SELF-HELP,10/14/17,10/14/17,,"THE SECRET, BOOK & SCONE SOCIETY",,,
IN A SUNBURNED COUNTRY,BILL BRYSON,,MENTAL WELLNESS/SELF-HELP,10/31/15,2/13/16,,WHITE TEARS,,,
MISADVENTURES OF A GARDEN STATE YOGI,BRIAN LEAF,,MENTAL WELLNESS/SELF-HELP,11/9/16,9/15/18,,JOURNEY,,,
A GRAMMAR BOOK FOR YOU AND I,C. EDWARD GOOD,,MENTAL WELLNESS/SELF-HELP,4/3/16,2/4/17,,CROSS-CHICK AN ANNA PETERS MYSTERY,,,
"THE GOOD LIFE: SEEKING PURPOSE, MEANING, AND TRUTH IN YOUR LIFE","CHARLES COLSON, HAROLD FICKETT",,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,THE TROUBLE WITH GOATS AND SHEEP,,,
YOUR VOICE AND HOW TO USE IT SUCCESSFULLY,CICILY BERRY,,MENTAL WELLNESS/SELF-HELP,9/8/15,12/6/15,,THE MYSTERY OF THE HOODED HORSEMAN,,,
30 DAYS TO A SIMPLER LIFE,"CONNIE COX, CHRIS EVATT",,MENTAL WELLNESS/SELF-HELP,11/9/16,10/14/17,,THE OVERSEER,,,
FEELING GOOD: THE NEW MOOD THERAPY,DAVID D. BURNS,,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,BLACK MAD WHEEL,,,
FEELING GOOD: THE NEW MOOD THERAPY,DAVID D. BURNS,,MENTAL WELLNESS/SELF-HELP,4/21/18,4/21/18,,BONES NEVER LIE,,,
FEELING GOOD: THE NEW MOOD THERAPY,DAVID D. BURNS,,MENTAL WELLNESS/SELF-HELP,4/21/18,9/15/18,,RUNNING FROM THE LAW,,,
TEN DAYS TO SELF-ESTEEM,DAVID D. BURNS,,MENTAL WELLNESS/SELF-HELP,4/21/18,9/15/18,,RUNNING OUT OF TIME,,,
FROM DEBATE TO DIALOGUE: USING THE UNDERSTANDING PROCESS TO TRANSFORM OUR CONVERSATIONS,DEBORAH L. FLICK,,MENTAL WELLNESS/SELF-HELP,4/3/16,10/14/17,,DADDY'S GONE A HUNTING,,,
TRANSFORMING POWER: A 13 WEEK PROGRAM FOR DEMOCRATIC CHANGE IN YOUR COMMUNITY,DONALD BARR,,MENTAL WELLNESS/SELF-HELP,3/31/17,12/2/17,,THE OBSESSION,,,
SEEDS OF LIGHT,ELIZABETH K. STRATTON,,MENTAL WELLNESS/SELF-HELP,4/3/16,4/23/16,,SEIZURE,,,
GESTALT THERAPY VERBATIM,FREDERICK S. PERLS,,MENTAL WELLNESS/SELF-HELP,3/31/17,2/10/18,,SO SAY THE FALLEN,,,
WHO ARE WE - AND SHOULD IT MATTER IN THE 21ST CENTURY?,GARY YOUNGE,,MENTAL WELLNESS/SELF-HELP,4/2/15,11/7/15,,SKINWALKERS,,,
SOUGHT THROUGH PRAYER AND MEDITATION,"GENO W., WILLIAM G. BORCHERT",,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,MIDNIGHT WHISPERS,,,
OPENINGS: A ZEN JOKE GUIDE FOR SERIOUS PROBLEM SOLVING,GEORGE A. KATCHMER,,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,RAIN,,,
OVERCOMING MULTIPLE SCLEROSIS: AN EVIDENCE-BASED GUIDE TO RECOVERY,GEORGE JELINEK,,MENTAL WELLNESS/SELF-HELP,11/9/16,9/15/18,,TWILIGHT'S CHILD,,,
HOW TO BE TOTALLY (UN)HAPPY IN A PEACEFUL WORLD,GIL FRIEDMAN,,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,THE VICTORIAN DETECTIVE NOVELS,,,
STEPS TO AN ECOLOGY OF MIND,GREGORY BATESON,,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,NOCTURNE,,,
LIVE INSPIRED NOW: A FIELD GUIDE FOR HAPPINESS,HEATHER PARIS,,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,"THE ORESTEIA, AGAMEMNON, THE LIBATION BEARERS, THE EUMENIDES, PROTEUS",,,
CUTTING LOOSE: AN ADULT'S GUIDE TO COMING TO TERMS WITH YOUR PARENTS,HOWARD M. HALPERN,,MENTAL WELLNESS/SELF-HELP,11/9/16,12/2/17,,NOTES FROM THE FIELD,,,
MAKING MORAL DECISIONS,J. PILLIP WOGAMAN,,MENTAL WELLNESS/SELF-HELP,11/6/14,12/6/15,,MAN AND SUPERMAN,,,
1001 DREAMS,JACK ALTMAN,,MENTAL WELLNESS/SELF-HELP,4/21/18,4/21/18,,GALILEO,,,
THE SCIENCE OF SUCCESS,JAMES A. RAY,,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,OLEANNA,,,
REINVENTING YOUR LIFE,"JEFFERY E. YOUNG, JANET S. KLOSKO",,MENTAL WELLNESS/SELF-HELP,4/21/18,4/21/18,,"RAPTURE, BLISTER, BURN",,,
REINVENTING YOUR LIFE,"JEFFERY E. YOUNG, JANET S. KLOSKO",,MENTAL WELLNESS/SELF-HELP,4/21/18,9/15/18,,WILLIAM SHAKESPEARE'S MUCH ADO ABOUT MEAN GIRLS,,,
"PRIVATE MOMENTS, SECRET SELVES",JEFFREY KOTTLER,,MENTAL WELLNESS/SELF-HELP,11/9/16,2/4/17,,MODERN IRISH DRAMA,,,
HEALING THE SHAME THAT BINDS YOU,JOHN BRADSHAW,,MENTAL WELLNESS/SELF-HELP,4/3/16,4/23/16,,LOBBY HERO,,,
THINKING CRITICALLY: NINTH EDITION,JOHN CHAFFEE,,MENTAL WELLNESS/SELF-HELP,3/4/17,12/2/17,,DUTCHMAN AND THE SLAVE,,,
LEADING LEADERS TO LEADERSHIP: 21 SECRETS TO LEVERAGING YOUR WAYS TO GREATER SUCCESS,JOHN FUHRMAN,,MENTAL WELLNESS/SELF-HELP,11/9/16,3/4/17,,STICK FLY,,,
WHEREVER YOU GO THERE YOU ARE,JON KABAT-ZINN,,MENTAL WELLNESS/SELF-HELP,4/3/16,9/17/16,,THE SHADOW BOX,,,
THE MOOD CURE: THE 4-STEP PROGRAM TO TAKE CHARGE OF YOUR EMOTIONS - TODAY,JULIA ROSS,,MENTAL WELLNESS/SELF-HELP,4/21/18,4/21/18,,GHOST ON FIRE,,,
CULTIVATING HOPE,KAREN CASEY,,MENTAL WELLNESS/SELF-HELP,11/9/16,9/15/18,,GREEK DRAMA,,,
THE ONE MINUTE MANAGER: THE QUICKEST WAY TO INCREASE YOUR OWN PROSPERITY,"KENNETH BLANCHARD, SPENCER JOHNSON",,MENTAL WELLNESS/SELF-HELP,11/9/16,12/2/17,,EQUUS,,,
THE ONE MINUTE MANAGER: THE QUICKEST WAY TO INCREASE YOUR OWN PROSPERITY,"KENNETH BLANCHARD, SPENCER JOHNSON",,MENTAL WELLNESS/SELF-HELP,9/8/15,12/6/15,,A MAN FOR ALL SEASONS,,,
THE ONE MINUTE MANAGER: THE QUICKEST WAY TO INCREASE YOUR OWN PROSPERITY,"KENNETH BLANCHARD, SPENCER JOHNSON",,MENTAL WELLNESS/SELF-HELP,9/9/17,12/2/17,,GEORGE ORWELL'S 1984,,,
THE COLORS OF LOVE: THE BLACK PERSON'S GUIDE TO INTERRACIAL RELATIONSHIPS,KIMBERLY HOHMAN,,MENTAL WELLNESS/SELF-HELP,12/11/14,12/6/15,,A LIE OF THE MIND,,,
THINK ON THESE THINGS,KRISHNA MURTI,,MENTAL WELLNESS/SELF-HELP,10/14/17,9/15/18,,WAITING FOR GODOT,,,
REBIRTHING IN THE NEW AGE,"LEONARD ORR, SONDRA RAY",,MENTAL WELLNESS/SELF-HELP,11/9/16,4/22/17,,THE MEMORY OF WATER,,,
FORGIVE AND FORGET,LEWIS B. SMEDES,,MENTAL WELLNESS/SELF-HELP,4/3/16,4/23/16,,"ANTIGONE, OEDIPUS THE KING, OEDIPUS AT COLONUS",,,
FORGIVE AND FORGET,LEWIS B. SMEDES,,MENTAL WELLNESS/SELF-HELP,9/15/18,9/15/18,,THE OEDIPUS CYCLE,,,
HOT WORDS FOR THE SAT,LINDA CARNEVALE,,MENTAL WELLNESS/SELF-HELP,4/3/16,2/4/17,,HOOTERS,,,
IN SEARCH OF THE BELOVED,MARIAN RIZZO,,MENTAL WELLNESS/SELF-HELP,11/9/19,,,A STREETCAR NAMED DESIRE,,,
IN SEARCH OF THE BELOVED,MARIAN RIZZO,,MENTAL WELLNESS/SELF-HELP,12/7/19,1/25/20,,AS YOU LIKE IT,,,
CODES OF LOVE,MARK BRYAN,,MENTAL WELLNESS/SELF-HELP,4/3/16,11/1/16,,HAMLET,,,
THE POCKET IDIOT'S GUIDE TO A GOOD NIGHT'S SLEEP,"MARTIN MOORE-EDE, SUZANNE LEVERT",,MENTAL WELLNESS/SELF-HELP,11/9/16,2/10/18,,JULIUS CAESAR,,,
"SANE: MENTAL ILLNESS, ADDICTION, AND THE 12 STEPS",MARYA HORNBACHER,,MENTAL WELLNESS/SELF-HELP,11/9/16,4/22/17,,KING LEAR,,,
THE ZEN OF RECOVERY,MEL ASH,,MENTAL WELLNESS/SELF-HELP,11/9/16,10/13/18,,THE MERCHANT OF VENICE,,,
LOVE AND OTHER WAYS OF DYING,MICHAEL PATERNITI,,MENTAL WELLNESS/SELF-HELP,10/14/17,10/13/18,,THE PORTABLE SHAKESPEARE,,,
"UNDERSTANDING DYING, DEATH, AND BEREAVEMENT: 3RD EDITION","MICHAEL R. LEMING, GEORGE E. DICKINSON",,MENTAL WELLNESS/SELF-HELP,4/3/16,11/1/16,,SELECTED POEMS AND FOUR PLAYS,,,
